iter	Passed	Remaining
0	134	134489
1	135	67675
2	136	45344
3	137	34193
4	138	27587
5	139	23123
6	140	19918
7	141	17494
8	141	15613
9	142	14099
10	143	12864
11	143	11824
12	144	10936
13	144	10181
14	145	9521
15	145	8953
16	146	8444
17	146	7998
18	147	7603
19	147	7249
20	148	6921
21	148	6619
22	149	6351
23	149	6099
24	150	5865
25	150	5649
26	151	5454
27	152	5278
28	152	5106
29	152	4945
30	153	4794
31	153	4651
32	154	4518
33	154	4393
34	155	4278
35	155	4167
36	156	4061
37	156	3963
38	157	3870
39	157	3780
40	158	3696
41	158	3616
42	159	3538
43	159	3465
44	159	3393
45	160	3324
46	160	3260
47	161	3201
48	162	3147
49	162	3089
50	163	3034
51	163	2981
52	164	2931
53	164	2881
54	164	2833
55	165	2789
56	166	2746
57	166	2702
58	166	2660
59	167	2620
60	167	2581
61	168	2545
62	168	2509
63	169	2476
64	169	2441
65	170	2407
66	170	2377
67	171	2346
68	171	2317
69	172	2287
70	172	2260
71	173	2232
72	173	2207
73	174	2181
74	174	2156
75	175	2132
76	175	2108
77	176	2085
78	177	2063
79	177	2042
80	178	2021
81	178	2003
82	179	1979
83	179	1959
84	180	1939
85	180	1920
86	181	1901
87	181	1883
88	182	1865
89	182	1848
90	183	1831
91	183	1814
92	184	1798
93	184	1781
94	185	1765
95	185	1750
96	186	1735
97	186	1720
98	187	1705
99	187	1690
100	188	1676
101	188	1663
102	189	1649
103	189	1636
104	190	1623
105	191	1611
106	191	1598
107	192	1589
108	193	1577
109	193	1566
110	194	1554
111	194	1543
112	195	1532
113	195	1522
114	196	1511
115	196	1500
116	197	1488
117	197	1478
118	198	1468
119	198	1457
120	199	1448
121	199	1437
122	200	1427
123	200	1418
124	201	1409
125	201	1400
126	202	1390
127	202	1381
128	203	1373
129	203	1364
130	204	1356
131	204	1347
132	205	1339
133	205	1330
134	206	1322
135	206	1314
136	207	1306
137	208	1300
138	209	1295
139	209	1288
140	210	1280
141	210	1272
142	211	1264
143	211	1257
144	212	1251
145	212	1244
146	213	1237
147	213	1230
148	214	1224
149	214	1217
150	215	1211
151	215	1204
152	216	1198
153	216	1191
154	217	1185
155	217	1179
156	218	1172
157	218	1166
158	219	1160
159	220	1155
160	220	1148
161	220	1142
162	221	1137
163	221	1131
164	222	1127
165	223	1122
166	223	1117
167	224	1111
168	225	1106
169	225	1101
170	226	1096
171	226	1090
172	227	1086
173	227	1081
174	228	1076
175	228	1071
176	229	1066
177	229	1062
178	230	1057
179	231	1052
180	231	1048
181	232	1044
182	232	1039
183	233	1035
184	233	1030
185	234	1026
186	235	1021
187	235	1017
188	236	1012
189	237	1013
190	238	1009
191	239	1006
192	239	1002
193	240	998
194	240	993
195	241	989
196	241	985
197	242	981
198	242	977
199	243	973
200	243	969
201	244	965
202	245	962
203	245	958
204	246	954
205	246	950
206	247	946
207	247	942
208	248	939
209	248	935
210	249	932
211	249	928
212	250	925
213	250	921
214	251	918
215	252	915
216	252	912
217	253	908
218	253	905
219	254	902
220	254	898
221	255	895
222	256	892
223	256	889
224	257	885
225	257	882
226	258	879
227	258	876
228	259	873
229	259	870
230	260	867
231	260	863
232	261	861
233	262	858
234	262	855
235	263	852
236	263	849
237	264	846
238	265	845
